Name,2001 WS,2000 WS,2001 MP,2000 MP,2001 G,2000 G,2001 USG,2000 USG,2001 WS/48,2000 WS/48
Shaquille O'Neal,14.9,18.6,2924,3163,74,79,31.6,31.2,0.245,0.283
Kobe Bryant,11.3,10.6,2783,2524,68,66,31.8,26.8,0.196,0.202
Horace Grant,6.5,5.2,2390,2688,77,76,12.9,11.6,0.13,0.093
Rick Fox,5.1,3.2,2291,1473,82,82,16.3,18.5,0.107,0.104
Brian Shaw,2.5,2.1,1833,1249,80,74,18.1,17.8,0.067,0.082
Robert Horry,2.6,5.6,1587,1685,79,76,15.9,12.7,0.078,0.161
Isaiah Rider,0.8,1.6,1206,2084,67,60,16.2,28.8,0.033,0.037
Ron Harper,1.8,4,1139,2042,47,80,17.5,15.6,0.077,0.093
Mike Penberthy,1.6,,851,,53,,12.6,,0.088,
Derek Fisher,1.8,3.1,709,1803,20,78,11.9,15.1,0.119,0.083
Mark Madsen,1.1,,641,,70,,17.3,,0.085,
Devean George,-0.3,0.7,593,345,59,49,12.8,23.3,-0.023,0.093
Tyronn Lue,0.4,0.3,468,146,38,8,14.8,15.5,0.042,0.103
