Name,2008 WS,2007 WS,2008 MP,2007 MP,2008 G,2007 G,2008 USG,2007 USG,2008 WS/48,2007 WS/48
Kirk Hinrich,3.6,10.1,2380,2859,75,80,18.9,21.6,0.072,0.171
Ben Gordon,5.1,8.6,2291,2704,72,82,26,29.3,0.106,0.152
Luol Deng,4.4,11.3,2128,3071,63,82,23.6,22.2,0.098,0.176
Andres Nocioni,3.3,4.1,2021,1406,82,53,24.5,23.8,0.077,0.139
Ben Wallace,2.4,8.2,1627,2697,50,77,10.2,10.6,0.072,0.146
Joakim Noah,3.8,,1534,,74,,15.6,,0.12,
Chris Duhon,2.3,4.8,1490,1906,66,78,13.4,14.8,0.075,0.121
Thabo Sefolosha,1.5,0.8,1436,868,69,71,17.3,17.2,0.05,0.047
Tyrus Thomas,2.4,2.2,1330,966,74,72,19.7,20.9,0.088,0.11
Joe Smith,2.6,2.8,1146,1503,50,65,22.8,18.9,0.109,0.088
Larry Hughes,0.7,3.9,810,2596,28,70,22,21.7,0.043,0.073
Aaron Gray,0.8,,613,,61,,22,,0.066,
