Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Russell Westbrook,33,78,2678,15,0.512,0.215,0.324,4.4,18.8,11.6,31.6,1.3,0.7,17.3,27.3,,-0.6,2.3,1.7,0.03,,-0.7,-0.9,-1.6,0.2
2,Malik Monk,23,76,2139,14.4,0.597,0.535,0.142,1.9,11,6.4,15.2,1.4,1.2,12.2,20.1,,2.3,1.4,3.6,0.081,,0.5,-1,-0.5,0.8
3,LeBron James,37,56,2084,26.2,0.619,0.367,0.275,3.3,20.4,11.8,30.6,1.7,2.5,12.5,32.3,,5.2,2.3,7.5,0.172,,6.9,0.8,7.7,5.1
4,Carmelo Anthony,37,69,1793,14.8,0.579,0.549,0.22,3.7,13.5,8.6,5.6,1.3,2.6,6.9,20.4,,2.2,1.4,3.6,0.097,,0.4,-0.8,-0.5,0.7
5,Talen Horton-Tucker,21,60,1511,11,0.503,0.338,0.232,2.6,11.1,6.9,14.9,1.9,1.7,12.1,19.2,,-0.2,1.2,1.1,0.033,,-3.2,-0.2,-3.3,-0.5
6,Austin Reaves,23,61,1418,11.5,0.6,0.525,0.371,3.4,11.2,7.3,10.3,1,1.3,9.8,12.4,,2.1,0.8,2.9,0.097,,-1.3,-0.6,-1.9,0
7,Avery Bradley,31,62,1406,7.8,0.55,0.6,0.051,2.4,8,5.2,4.5,1.8,0.6,9.6,12.1,,0.3,0.9,1.2,0.04,,-3.5,-0.1,-3.6,-0.6
8,Anthony Davis,28,40,1404,23.9,0.578,0.101,0.351,8.1,22,15.1,14.7,1.7,5.7,9.3,27.1,,2.6,2,4.5,0.155,,2.6,1.2,3.8,2
9,Stanley Johnson,25,48,1094,10.5,0.564,0.418,0.295,3.4,11.9,7.6,9.8,1.9,1.1,11,12.5,,0.9,0.9,1.8,0.079,,-2.8,0.1,-2.7,-0.2
10,Dwight Howard,36,60,971,18.2,0.657,0.068,0.667,13.1,26.3,19.7,5,1.7,3.3,14.2,14.6,,2.2,1.3,3.5,0.174,,-0.2,0,-0.2,0.4
11,Wayne Ellington,34,43,810,9.9,0.593,0.89,0.046,1.3,8.9,5.1,5,1.4,0.5,7.3,13.8,,0.6,0.4,1,0.062,,-0.7,-0.6,-1.4,0.1
12,Kent Bazemore,32,39,545,6,0.451,0.576,0.122,2.6,11,6.8,8.1,2.2,1.5,12.5,13.2,,-0.4,0.5,0.1,0.006,,-5.1,0.8,-4.3,-0.3
13,Trevor Ariza,36,24,462,7,0.449,0.747,0.182,2.3,16.7,9.5,7.5,1.3,1.2,9.3,11,,-0.2,0.4,0.2,0.02,,-3.3,-0.2,-3.4,-0.2
14,DeAndre Jordan,33,32,408,17.5,0.657,0,0.292,13.5,31.8,22.7,4.5,1.2,5.7,17.3,12.8,,0.7,0.6,1.3,0.153,,-1.5,0.9,-0.6,0.2
15,D.J. Augustin,34,21,373,9.7,0.635,0.791,0.058,1.2,6.6,3.9,11.8,0.9,0.2,11.1,11.4,,0.5,0.1,0.6,0.079,,-1,-1.6,-2.6,-0.1
16,Wenyen Gabriel,24,19,311,13.1,0.558,0.237,0.392,11.8,16.5,14.2,5.5,0.6,2.6,10.3,17.5,,0.4,0.2,0.6,0.096,,-3.3,-2.3,-5.7,-0.3
17,Rajon Rondo,35,18,289,6.5,0.383,0.423,0.028,3.7,14.5,9.1,29.9,2,1.5,32.1,15.7,,-0.6,0.3,-0.3,-0.053,,-4.8,0.3,-4.5,-0.2
18,Isaiah Thomas,32,4,101,3.2,0.422,0.564,0.282,1.1,7.4,4.3,8.1,0,1.8,10.2,20.8,,-0.2,0,-0.2,-0.084,,-6,-2.5,-8.5,-0.2
19,Mason Jones,23,4,51,17.8,0.625,0.267,1,2.1,18.9,10.5,10.9,1.9,0,4.4,19,,0.2,0,0.2,0.201,,-1.2,0.3,-0.9,0
20,Darren Collison,34,3,37,-0.2,0.286,0.429,0,0,11.6,5.8,6.8,1.3,0,12.5,9.3,,-0.1,0,-0.1,-0.07,,-10,-0.9,-10.9,-0.1
21,Mac McClung,23,1,22,4.7,0.551,0.6,0.2,0,14.6,7.3,6,2.2,4,26.9,14.5,,0,0,0,-0.015,,-8.6,-0.2,-8.8,0
22,Chaundee Brown Jr.,23,2,21,-8.7,0.143,0.429,0,0,10.2,5.1,0,0,0,12.5,16.4,,-0.1,0,-0.1,-0.306,,-11.6,-5,-16.6,-0.1
23,Jay Huff,23,4,20,0.6,0,0.667,0,5.4,16.1,10.8,5.9,2.4,4.5,25,8.6,,-0.1,0,0,-0.117,,-8.3,0.9,-7.4,0
24,Sekou Doumbouya,21,2,16,40.7,0.717,0.25,0.5,13.5,26.8,20.2,0,9,11.1,17,31.6,,0,0.1,0.1,0.3,,8.8,10,18.8,0.1
25,Jemerrio Jones,26,2,15,14.8,0.667,0,0,14.4,7.1,10.8,0,3.2,0,0,8.6,,0,0,0.1,0.17,,-1.1,0.1,-1,0
