Team,Odds,,W-L O/U,Result
Los Angeles Lakers,200,,58.5,58-24 (under)
San Antonio Spurs,500,,53.5,58-24 (over)
Sacramento Kings,1000,,52.5,61-21 (over)
Philadelphia 76ers,1000,,50.5,43-39 (under)
Orlando Magic,1000,,51.5,44-38 (under)
Milwaukee Bucks,1000,,50.5,41-41 (under)
New York Knicks,1200,,44.5,30-52 (under)
Miami Heat,1200,,47.5,36-46 (under)
Toronto Raptors,1500,,48.5,42-40 (under)
Dallas Mavericks,1500,,52.5,57-25 (over)
Portland Trail Blazers,1500,,48.5,49-33 (over)
Utah Jazz,2000,,48.5,44-38 (under)
Charlotte Hornets,2200,,45.5,44-38 (under)
Washington Wizards,2500,,37.5,37-45 (under)
Minnesota Timberwolves,2500,,46.5,50-32 (over)
Los Angeles Clippers,2500,,38.5,39-43 (over)
Indiana Pacers,3000,,40.5,42-40 (over)
Phoenix Suns,3000,,44.5,36-46 (under)
Houston Rockets,4500,,41.5,28-54 (under)
Detroit Pistons,5000,,30.5,50-32 (over)
Seattle SuperSonics,5000,,53.5,45-37 (under)
Boston Celtics,5000,,35.5,49-33 (over)
New Jersey Nets,6000,,35.5,52-30 (over)
Memphis Grizzlies,8000,,19.5,23-59 (over)
Denver Nuggets,8000,,27.5,27-55 (under)
Atlanta Hawks,10000,,36.5,33-49 (under)
Cleveland Cavaliers,12000,,26.5,29-53 (over)
Chicago Bulls,15000,,18.5,21-61 (over)
Golden State Warriors,25000,,23.5,21-61 (under)
